src,dst,add_st,mul_st
18,12,0.0,1.0
18,13,0.0,1.0
18,14,0.0,1.0
18,15,0.0,1.0
18,16,0.0,1.0
18,17,0.0,1.0
18,19,0.0,1.0
18,20,0.0,1.0
18,21,0.0,1.0
18,22,0.0,1.0
18,23,0.0,1.0
18,24,0.0,1.0
18,25,0.0,1.0
18,26,2.0,1.6666666666666667
18,27,0.0,1.0
18,28,2.0,1.6666666666666667
18,29,0.0,1.0
18,30,0.0,1.0
18,31,1.0,1.25
18,32,1.0,1.25
19,1,0.0,1.0
19,2,0.0,1.0
19,3,0.0,1.0
19,4,0.0,1.0
19,5,0.0,1.0
19,6,2.0,2.0
19,7,0.0,1.0
19,8,1.0,1.3333333333333333
19,9,0.0,1.0
19,10,0.0,1.0
19,11,0.0,1.0
19,12,0.0,1.0
19,13,0.0,1.0
19,14,2.0,1.6666666666666667
19,15,2.0,2.0
19,16,1.0,1.3333333333333333
19,17,0.0,1.0
19,18,1.0,1.3333333333333333
19,20,0.0,1.0
19,21,1.0,1.25
19,22,0.0,1.0
19,23,1.0,1.3333333333333333
19,24,4.0,3.0
19,25,3.0,2.5
19,26,2.0,1.6666666666666667
19,27,1.0,1.3333333333333333
19,28,2.0,1.6666666666666667
19,29,0.0,1.0
19,30,1.0,1.25
19,31,0.0,1.0
19,32,0.0,1.0
20,1,1.0,1.3333333333333333
20,2,1.0,1.3333333333333333
20,3,2.0,2.0
20,4,0.0,1.0
20,5,1.0,1.3333333333333333
20,6,1.0,1.3333333333333333
20,7,1.0,1.3333333333333333
20,8,0.0,1.0
20,9,0.0,1.0
20,10,0.0,1.0
20,11,0.0,1.0
20,12,1.0,1.3333333333333333
20,13,0.0,1.0
20,14,2.0,2.0
20,15,0.0,1.0
20,16,0.0,1.0
20,17,0.0,1.0
20,18,0.0,1.0
20,19,0.0,1.0
20,21,1.0,1.3333333333333333
20,22,0.0,1.0
20,23,1.0,1.25
20,24,2.0,1.6666666666666667
20,25,0.0,1.0
20,26,2.0,2.0
20,27,1.0,1.3333333333333333
20,28,0.0,1.0
20,29,0.0,1.0
20,30,1.0,1.3333333333333333
20,31,1.0,1.3333333333333333
20,32,2.0,1.6666666666666667
21,1,1.0,1.25
21,2,2.0,2.0
21,3,1.0,1.3333333333333333
21,4,0.0,1.0
21,5,1.0,1.3333333333333333
21,6,0.0,1.0
21,7,1.0,1.25
21,8,0.0,1.0
21,9,1.0,1.25
21,10,1.0,1.25
21,11,0.0,1.0
21,12,1.0,1.25
21,13,1.0,1.3333333333333333
21,14,2.0,2.0
21,15,0.0,1.0
21,16,0.0,1.0
21,17,1.0,1.3333333333333333
21,18,0.0,1.0
21,19,1.0,1.25
21,20,1.0,1.3333333333333333
21,22,1.0,1.3333333333333333
21,23,0.0,1.0
21,24,2.0,1.6666666666666667
21,25,0.0,1.0
21,26,1.0,1.25
21,27,1.0,1.25
21,28,2.0,1.6666666666666667
21,29,0.0,1.0
21,30,0.0,1.0
21,31,1.0,1.3333333333333333
21,32,0.0,1.0
22,1,0.0,1.0
22,2,2.0,2.0
22,3,0.0,1.0
22,4,1.0,1.3333333333333333
22,5,1.0,1.3333333333333333
22,6,0.0,1.0
22,7,0.0,1.0
22,8,0.0,1.0
22,9,1.0,1.25
22,10,1.0,1.25
22,11,1.0,1.3333333333333333
22,12,0.0,1.0
22,13,2.0,2.0
22,14,1.0,1.3333333333333333
22,15,0.0,1.0
22,16,0.0,1.0
22,17,1.0,1.3333333333333333
22,18,0.0,1.0
22,19,0.0,1.0
22,20,0.0,1.0
22,21,1.0,1.3333333333333333
22,23,0.0,1.0
22,24,1.0,1.25
22,25,0.0,1.0
22,26,0.0,1.0
22,27,0.0,1.0
22,28,2.0,1.6666666666666667
22,29,1.0,1.25
22,30,0.0,1.0
22,31,1.0,1.3333333333333333
22,32,2.0,2.0
23,1,0.0,1.0
23,2,0.0,1.0
23,3,1.0,1.3333333333333333
23,4,1.0,1.3333333333333333
23,5,0.0,1.0
23,6,2.0,2.0
23,7,1.0,1.25
23,8,2.0,1.6666666666666667
23,9,0.0,1.0
23,10,0.0,1.0
23,11,0.0,1.0
23,12,1.0,1.25
23,13,1.0,1.25
23,14,1.0,1.25
23,15,0.0,1.0
23,16,2.0,2.0
23,17,1.0,1.25
23,18,1.0,1.25
23,19,1.0,1.3333333333333333
23,20,1.0,1.25
23,21,0.0,1.0
23,22,0.0,1.0
23,24,1.0,1.25
23,25,1.0,1.3333333333333333
23,26,0.0,1.0
23,27,1.0,1.3333333333333333
23,28,0.0,1.0
23,29,0.0,1.0
23,30,0.0,1.0
23,31,1.0,1.25
23,32,1.0,1.25
24,1,0.0,1.0
24,2,0.0,1.0
24,3,0.0,1.0
24,4,2.0,1.6666666666666667
24,5,0.0,1.0
24,6,2.0,1.6666666666666667
24,7,0.0,1.0
24,8,1.0,1.25
24,9,0.0,1.0
24,10,0.0,1.0
24,11,0.0,1.0
24,12,0.0,1.0
24,13,2.0,1.6666666666666667
24,14,4.0,3.0
24,15,2.0,1.6666666666666667
24,16,0.0,1.0
24,17,1.0,1.25
24,18,1.0,1.25
24,19,4.0,3.0
24,20,2.0,1.6666666666666667
24,21,2.0,1.6666666666666667
24,22,1.0,1.25
24,23,1.0,1.25
24,25,2.0,1.6666666666666667
24,26,0.0,1.0
24,27,1.0,1.25
24,28,1.0,1.25
24,29,0.0,1.0
24,30,0.0,1.0
24,31,0.0,1.0
24,32,0.0,1.0
25,1,0.0,1.0
25,2,0.0,1.0
25,3,0.0,1.0
25,4,2.0,1.6666666666666667
25,5,1.0,1.3333333333333333
25,6,1.0,1.3333333333333333
25,7,0.0,1.0
25,8,1.0,1.25
25,9,1.0,1.25
25,10,1.0,1.25
25,11,0.0,1.0
25,12,0.0,1.0
25,13,0.0,1.0
25,14,0.0,1.0
25,15,1.0,1.3333333333333333
25,16,3.0,2.5
25,17,1.0,1.25
25,18,1.0,1.25
25,19,3.0,2.5
25,20,0.0,1.0
25,21,0.0,1.0
25,22,0.0,1.0
25,23,1.0,1.3333333333333333
25,24,2.0,1.6666666666666667
25,26,1.0,1.25
25,27,1.0,1.25
25,28,1.0,1.25
25,29,0.0,1.0
25,30,1.0,1.2
25,31,0.0,1.0
25,32,0.0,1.0
26,1,1.0,1.3333333333333333
26,2,0.0,1.0
26,3,0.0,1.0
26,4,0.0,1.0
26,5,1.0,1.3333333333333333
26,6,0.0,1.0
26,7,0.0,1.0
26,8,0.0,1.0
26,9,1.0,1.25
26,10,0.0,1.0
26,11,1.0,1.25
26,12,0.0,1.0
26,13,0.0,1.0
26,14,2.0,1.6666666666666667
26,15,2.0,2.0
26,16,1.0,1.25
26,17,0.0,1.0
26,18,2.0,1.6666666666666667
26,19,2.0,1.6666666666666667
26,20,2.0,2.0
26,21,1.0,1.25
26,22,0.0,1.0
26,23,0.0,1.0
26,24,0.0,1.0
26,25,1.0,1.25
26,27,0.0,1.0
26,28,2.0,1.6666666666666667
26,29,0.0,1.0
26,30,3.0,2.5
26,31,0.0,1.0
26,32,0.0,1.0
27,1,1.0,1.3333333333333333
27,2,1.0,1.3333333333333333
27,3,1.0,1.5
27,4,1.0,1.3333333333333333
27,5,0.0,1.0
27,6,1.0,1.5
27,7,1.0,1.3333333333333333
27,8,1.0,1.3333333333333333
27,9,0.0,1.0
27,10,0.0,1.0
27,11,0.0,1.0
27,12,1.0,1.3333333333333333
27,13,1.0,1.3333333333333333
27,14,0.0,1.0
27,15,1.0,1.3333333333333333
27,16,0.0,1.0
27,17,0.0,1.0
27,18,0.0,1.0
27,19,1.0,1.3333333333333333
27,20,1.0,1.3333333333333333
27,21,1.0,1.25
27,22,0.0,1.0
27,23,1.0,1.3333333333333333
27,24,1.0,1.25
27,25,1.0,1.25
27,26,0.0,1.0
27,28,0.0,1.0
27,29,0.0,1.0
27,30,1.0,1.25
27,31,1.0,1.3333333333333333
27,32,1.0,1.3333333333333333
28,1,0.0,1.0
28,2,2.0,2.0
28,3,0.0,1.0
28,4,1.0,1.3333333333333333
28,5,0.0,1.0
28,6,0.0,1.0
28,7,0.0,1.0
28,8,1.0,1.25
28,9,0.0,1.0
28,10,0.0,1.0
28,11,0.0,1.0
28,12,0.0,1.0
28,13,0.0,1.0
28,14,0.0,1.0
28,15,2.0,2.0
28,16,0.0,1.0
28,17,1.0,1.3333333333333333
28,18,2.0,1.6666666666666667
28,19,2.0,1.6666666666666667
28,20,0.0,1.0
28,21,2.0,1.6666666666666667
28,22,2.0,1.6666666666666667
28,23,0.0,1.0
28,24,1.0,1.25
28,25,1.0,1.25
28,26,2.0,1.6666666666666667
28,27,0.0,1.0
28,29,0.0,1.0
28,30,1.0,1.25
28,31,1.0,1.3333333333333333
28,32,0.0,1.0
29,1,2.0,1.6666666666666667
29,2,0.0,1.0
29,3,0.0,1.0
29,4,2.0,1.6666666666666667
29,5,0.0,1.0
29,6,0.0,1.0
29,7,1.0,1.25
29,8,1.0,1.25
29,9,0.0,1.0
29,10,2.0,2.0
29,11,2.0,2.0
29,12,1.0,1.25
29,13,2.0,1.6666666666666667
29,14,0.0,1.0
29,15,0.0,1.0
29,16,0.0,1.0
29,17,1.0,1.25
29,18,0.0,1.0
29,19,0.0,1.0
29,20,0.0,1.0
29,21,0.0,1.0
29,22,1.0,1.25
29,23,0.0,1.0
29,24,0.0,1.0
29,25,0.0,1.0
29,26,0.0,1.0
29,27,0.0,1.0
29,28,0.0,1.0
29,30,2.0,1.5
29,31,0.0,1.0
29,32,0.0,1.0
30,1,3.0,2.5
30,2,1.0,1.25
30,3,1.0,1.3333333333333333
30,4,1.0,1.25
30,5,0.0,1.0
30,6,0.0,1.0
30,7,1.0,1.3333333333333333
