src,dst,add_st,mul_st
1,2,2.0,1.6666666666666667
1,3,3.0,2.5
1,4,2.0,1.6666666666666667
1,5,2.0,1.6666666666666667
1,6,2.0,1.6666666666666667
1,7,4.0,3.0
1,8,4.0,3.0
1,9,3.0,2.0
1,10,4.0,3.0
1,11,1.0,1.25
1,12,4.0,3.0
1,13,3.0,2.0
1,14,2.0,1.5
1,15,2.0,1.6666666666666667
1,16,1.0,1.25
1,17,2.0,1.5
1,18,3.0,2.0
1,19,1.0,1.25
1,20,3.0,2.0
1,21,2.0,1.5
1,22,2.0,1.5
1,23,2.0,1.5
1,24,1.0,1.2
1,25,1.0,1.2
1,26,3.0,2.0
1,27,3.0,2.0
1,28,1.0,1.25
1,29,3.0,2.0
1,30,5.0,3.5
1,31,3.0,2.0
1,32,3.0,2.0
2,1,2.0,1.6666666666666667
2,3,3.0,2.5
2,4,3.0,2.5
2,5,3.0,2.5
2,6,2.0,1.6666666666666667
2,7,2.0,1.6666666666666667
2,8,1.0,1.25
2,9,2.0,1.6666666666666667
2,10,2.0,1.6666666666666667
2,11,2.0,1.6666666666666667
2,12,2.0,1.6666666666666667
2,13,2.0,1.6666666666666667
2,14,2.0,1.6666666666666667
2,15,2.0,1.6666666666666667
2,16,2.0,1.6666666666666667
2,17,4.0,3.0
2,18,2.0,1.5
2,19,1.0,1.25
2,20,2.0,1.6666666666666667
2,21,4.0,3.0
2,22,4.0,3.0
2,23,2.0,1.5
2,24,2.0,1.5
2,25,2.0,1.5
2,26,1.0,1.25
2,27,2.0,1.6666666666666667
2,28,4.0,3.0
2,29,2.0,1.5
2,30,2.0,1.5
2,31,4.0,3.0
2,32,3.0,2.0
3,1,3.0,2.5
3,2,3.0,2.5
3,4,3.0,2.5
3,5,3.0,2.5
3,6,3.0,2.5
3,7,4.0,3.0
3,8,3.0,2.0
3,9,2.0,1.6666666666666667
3,10,2.0,1.6666666666666667
3,11,2.0,1.6666666666666667
3,12,4.0,3.0
3,13,3.0,2.5
3,14,2.0,1.6666666666666667
3,15,3.0,2.5
3,16,2.0,1.6666666666666667
3,17,2.0,1.6666666666666667
3,18,3.0,2.0
3,19,2.0,1.6666666666666667
3,20,4.0,3.0
