node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.849683,150.293546,0,0.0
1,7,99999.887262,112.72457,0,0.0
1,8,99999.887174,112.781972,0,0.0
1,10,99999.887174,112.781972,0,0.0
1,12,99999.887174,112.781972,0,0.0
1,15,99999.887183,112.777552,0,0.0
1,18,99999.887262,112.720159,0,0.0
1,30,99999.924841,75.146773,0,0.0
2,3,99999.84973,150.270016,0,0.0
2,4,99999.887297,112.702512,0,0.0
2,5,99999.924783,75.176217,0,0.0
2,17,99999.924859,75.137949,0,0.0
2,21,99999.924859,75.137949,0,0.0
2,22,99999.887297,112.702512,0,0.0
2,28,99999.924788,75.17327,0,0.0
2,31,99999.887183,112.759905,0,0.0
3,4,99999.887297,112.702512,0,0.0
3,5,99999.924783,75.176217,0,0.0
3,6,99999.887297,112.702512,0,0.0
3,7,99999.887289,112.706923,0,0.0
3,12,99999.849565,150.352434,0,0.0
3,13,99999.849565,150.352434,0,0.0
3,15,99999.849577,150.346541,0,0.0
3,20,99999.887297,112.702512,0,0.0
3,27,99999.887174,112.764325,0,0.0
3,31,99999.887183,112.759905,0,0.0
3,32,99999.887297,112.702512,0,0.0
4,11,99999.887297,112.698102,0,0.0
4,14,99999.887183,112.759905,0,0.0
4,16,99999.84973,131.486264,0,0.574713
4,17,99999.849718,150.275897,0,0.0
5,6,99999.887174,112.764325,0,0.0
5,9,99999.887174,112.764325,0,0.0
5,10,99999.887174,112.826138,0,0.0
5,11,99999.887174,112.759915,0,0.0
5,15,99999.887174,112.821718,0,0.0
5,16,99999.887174,112.764325,0,0.0
6,8,99999.887174,112.764325,0,0.0
6,19,99999.924865,75.132068,0,0.0
6,23,99999.924865,75.135008,0,0.0
6,27,99999.924783,75.176217,0,0.0
7,9,99999.849718,150.275897,0,0.0
8,18,99999.849565,150.352434,0,0.0
10,15,99999.849565,150.428958,0,0.0
10,29,99999.887174,112.764325,0,0.0
11,13,99999.887174,112.759915,0,0.0
11,29,99999.887297,112.698102,0,0.0
13,14,99999.887174,112.821718,0,0.0
13,22,99999.887174,112.764325,0,0.0
14,20,99999.924788,75.17327,0,0.0
14,21,99999.887183,112.764316,0,0.0
14,24,99999.887183,112.759905,0,0.0
15,18,99999.887183,112.759905,0,0.0
15,19,99999.924788,75.17327,0,0.0
15,26,99999.887183,112.817299,0,0.0
15,28,99999.887183,112.817299,0,0.0
16,23,99999.887297,112.702512,0,0.0
16,25,99999.887297,112.702512,0,0.0
18,30,99999.887297,112.702512,0,0.0
19,24,99999.887297,112.702512,0,0.0
19,25,99999.924865,75.135008,0,0.0
20,26,99999.924788,75.17327,0,0.0
22,32,99999.924783,75.176217,0,0.0
26,30,99999.924788,75.17327,0,0.0
