node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.885705,114.276648,0,0.0
1,7,99999.92381,76.181408,0,0.0
1,8,99999.885705,114.276648,0,0.0
1,10,99999.885687,114.285721,0,0.0
1,12,99999.885714,114.267579,0,0.0
1,15,99999.885678,114.285726,0,0.0
1,18,99999.885705,114.276648,0,0.0
1,30,99999.923803,76.184432,0,0.0
2,3,99999.847607,152.36282,0,0.0
2,4,99999.923828,76.169318,0,0.0
2,5,99999.923803,76.18141,0,0.0
2,17,99999.923834,76.166296,0,0.0
2,21,99999.923834,76.166296,0,0.0
2,22,99999.885705,114.272115,0,0.0
2,28,99999.923834,76.145158,0,0.0
2,31,99999.885751,114.217736,0,0.0
3,4,99999.923803,76.184432,0,0.0
3,5,99999.923803,76.196524,0,0.0
3,6,99999.885705,114.29025,0,0.0
3,7,99999.885705,114.29025,0,0.0
3,12,99999.847607,152.387,0,0.0
3,13,99999.847607,152.393047,0,0.0
3,15,99999.847571,152.411195,0,0.0
3,20,99999.847607,152.36282,0,0.0
3,27,99999.885705,114.294785,0,0.0
3,31,99999.885705,114.240407,0,0.0
3,32,99999.885705,114.272115,0,0.0
4,11,99999.885714,114.272112,0,0.0
4,14,99999.885678,114.290258,0,0.0
4,16,99999.885741,114.25851,0,0.0
4,17,99999.885741,114.253977,0,0.0
5,6,99999.885705,114.29025,0,0.0
5,9,99999.885705,114.294785,0,0.0
5,10,99999.885687,114.303858,0,0.0
5,11,99999.885705,114.29025,0,0.0
5,15,99999.885678,114.308396,0,0.0
5,16,99999.885705,114.276648,0,0.0
6,8,99999.885705,114.29025,0,0.0
6,19,99999.885705,114.29025,0,0.0
6,23,99999.92381,76.190476,0,0.0
6,27,99999.92381,76.190476,0,0.0
7,9,99999.885705,114.29025,0,0.0
8,18,99999.847607,152.393047,0,0.0
10,15,99999.847571,152.423292,0,0.0
10,29,99999.885687,114.285721,0,0.0
11,13,99999.885705,114.29025,0,0.0
11,29,99999.885714,114.272112,0,0.0
13,14,99999.885678,114.308396,0,0.0
13,22,99999.885705,114.294785,0,0.0
14,20,99999.885678,114.285726,0,0.0
14,21,99999.885678,114.285726,0,0.0
14,24,99999.885678,114.303861,0,0.0
15,18,99999.885678,114.308396,0,0.0
15,19,99999.885678,114.308396,0,0.0
15,26,99999.885678,114.254018,0,0.0
15,28,99999.885678,114.254018,0,0.0
16,23,99999.885714,114.272112,0,0.0
16,25,99999.885705,114.276648,0,0.0
18,30,99999.885705,114.294785,0,0.0
19,24,99999.885705,114.29025,0,0.0
19,25,99999.885705,114.294785,0,0.0
20,26,99999.885751,114.217736,0,0.0
22,32,99999.923803,76.18141,0,0.0
26,30,99999.923803,76.160271,0,0.0
