node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.924918,75.073315,0,0.0
1,7,99999.887377,112.609972,0,0.0
1,8,99999.887377,112.614375,0,0.0
1,10,99999.887377,112.618778,0,0.0
1,12,99999.887386,112.609971,0,0.0
1,15,99999.887377,112.614375,0,0.0
1,18,99999.849836,150.14663,0,0.0
1,30,99999.849836,150.1525,0,0.0
2,3,99999.924935,75.049841,0,0.0
2,4,99999.887403,112.574761,0,0.0
2,5,99999.849859,150.105551,0,0.0
2,17,99999.887447,112.552759,0,0.0
2,21,99999.887447,112.552759,0,0.0
2,22,99999.887403,112.574761,0,0.0
2,28,99999.887394,112.579163,0,0.0
2,31,99999.849859,150.105551,0,0.0
3,4,99999.887403,112.596763,0,0.0
3,5,99999.849859,150.134887,0,0.0
3,6,99999.924935,75.064509,0,0.0
3,7,99999.887403,112.596763,0,0.0
3,12,99999.92493,75.067444,0,0.0
3,13,99999.92493,75.067444,0,0.0
3,15,99999.92493,75.067444,0,0.0
3,20,99999.924935,75.052773,0,0.0
3,27,99999.887394,112.601165,0,0.0
3,31,99999.849859,150.134887,0,0.0
3,32,99999.849871,150.105547,0,0.0
4,11,99999.92493,75.067444,0,0.0
4,14,99999.887394,112.601165,0,0.0
4,16,99999.924935,75.052773,0,0.0
4,17,99999.924935,75.049841,0,0.0
5,6,99999.887394,112.601165,0,0.0
5,9,99999.887394,112.605568,0,0.0
5,10,99999.887386,112.609971,0,0.0
5,11,99999.887394,112.605568,0,0.0
5,15,99999.887394,112.605568,0,0.0
5,16,99999.887394,112.583562,0,0.0
6,8,99999.92493,75.067444,0,0.0
6,19,99999.924935,75.064509,0,0.0
6,23,99999.887403,112.596763,0,0.0
6,27,99999.887394,112.601165,0,0.0
7,9,99999.92493,75.067444,0,0.0
8,18,99999.92493,75.067444,0,0.0
10,15,99999.924924,75.073314,0,0.0
10,29,99999.887386,112.605568,0,0.0
11,13,99999.887394,112.605568,0,0.0
11,29,99999.887394,112.601165,0,0.0
13,14,99999.887394,112.605568,0,0.0
13,22,99999.887394,112.601165,0,0.0
14,20,99999.887394,112.583562,0,0.0
14,21,99999.887394,112.579163,0,0.0
14,24,99999.887394,112.601165,0,0.0
15,18,99999.887394,112.601165,0,0.0
15,19,99999.887394,112.601165,0,0.0
15,26,99999.887386,112.609971,0,0.0
15,28,99999.887394,112.605568,0,0.0
16,23,99999.887403,112.57916,0,0.0
16,25,99999.887403,112.57916,0,0.0
18,30,99999.849859,150.134887,0,0.0
19,24,99999.887403,112.596763,0,0.0
19,25,99999.887403,112.596763,0,0.0
20,26,99999.887386,112.587966,0,0.0
22,32,99999.849871,150.105547,0,0.0
26,30,99999.887386,112.609971,0,0.0
