node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.846902,153.049039,0,0.0
1,7,99999.846902,153.055136,0,0.0
1,8,99999.846914,153.049032,0,0.0
1,10,99999.885195,114.777625,0,0.0
1,12,99999.923457,76.521468,0,0.0
1,15,99999.9235,76.472707,0,0.0
1,18,99999.885241,114.713632,0,0.0
1,30,99999.847,152.951501,0,0.0
2,3,99999.846902,153.097839,0,0.0
2,4,99999.846902,153.091736,0,0.0
2,5,99999.846902,153.091736,0,0.0
2,17,99999.923451,76.503195,0,0.0
2,21,99999.923451,76.503195,0,0.0
2,22,99999.878798,121.120419,0,0.0
2,28,99999.923451,76.494063,0,0.0
2,31,99999.846902,152.988126,0,0.0
3,4,99999.846902,153.091736,0,0.0
3,5,99999.846902,153.091736,0,0.0
3,6,99999.885177,114.823379,0,0.0
3,7,99999.885177,114.823379,0,0.0
3,12,99999.885177,114.818802,0,0.0
3,13,99999.885177,114.818802,0,0.0
3,15,99999.885177,114.74566,0,0.0
3,20,99999.885177,114.754793,0,0.0
3,27,99999.885177,114.74566,0,0.0
3,31,99999.846902,152.988126,0,0.0
3,32,99999.846902,153.00639,0,0.0
4,11,99999.846914,153.085632,0,0.0
4,14,99999.885186,114.814224,0,0.0
4,16,99999.885186,114.750215,0,0.0
4,17,99999.885186,114.750215,0,0.0
5,6,99999.885177,114.818802,0,0.0
5,9,99999.846914,153.085632,0,0.0
5,10,99999.846914,153.07953,0,0.0
5,11,99999.846914,153.085632,0,0.0
5,15,99999.885186,114.741082,0,0.0
5,16,99999.885186,114.750215,0,0.0
6,8,99999.885177,114.818802,0,0.0
6,19,99999.923451,76.500151,0,0.0
6,23,99999.923451,76.500151,0,0.0
6,27,99999.923451,76.497107,0,0.0
7,9,99999.885177,114.818802,0,0.0
8,18,99999.885186,114.741082,0,0.0
10,15,99999.885195,114.736506,0,0.0
10,29,99999.885195,114.745638,0,0.0
11,13,99999.885186,114.814224,0,0.0
11,29,99999.846914,153.000287,0,0.0
13,14,99999.923457,76.542816,0,0.0
13,22,99999.923457,76.494055,0,0.0
14,20,99999.923457,76.500143,0,0.0
14,21,99999.923457,76.500143,0,0.0
14,24,99999.923457,76.494055,0,0.0
15,18,99999.923555,76.445294,0,0.0
15,19,99999.923555,76.445294,0,0.0
15,26,99999.923555,76.439207,0,0.0
15,28,99999.923555,76.44225,0,0.0
16,23,99999.923543,76.454426,0,0.0
16,25,99999.923543,76.454426,0,0.0
18,30,99999.885323,114.672507,0,0.0
19,24,99999.923549,76.448338,0,0.0
19,25,99999.923549,76.448338,0,0.0
20,26,99999.923543,76.445296,0,0.0
22,32,99999.847085,152.902764,0,0.0
26,30,99999.885323,114.663377,0,0.0
