node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.847316,152.677826,0,0.0
1,7,99999.847316,152.677826,0,0.0
1,8,99999.847316,152.677826,0,0.0
1,10,99999.885496,114.503817,0,0.0
1,12,99999.923658,76.338913,0,0.0
1,15,99999.923664,76.335878,0,0.0
1,18,99999.885487,114.50837,0,0.0
1,30,99999.847328,152.598986,0,0.0
2,3,99999.847316,152.683897,0,0.0
2,4,99999.847316,152.683897,0,0.0
2,5,99999.847316,152.677826,0,0.0
2,17,99999.923652,76.344984,0,0.0
2,21,99999.923658,76.341948,0,0.0
2,22,99999.885487,114.50837,0,0.0
2,28,99999.923658,76.296471,0,0.0
2,31,99999.847316,152.598998,0,0.0
3,4,99999.847316,152.683897,0,0.0
3,5,99999.847328,152.671756,0,0.0
3,6,99999.885487,114.50837,0,0.0
3,7,99999.885487,114.512922,0,0.0
3,12,99999.885487,114.512922,0,0.0
3,13,99999.885487,114.50837,0,0.0
3,15,99999.885487,114.50837,0,0.0
3,20,99999.885487,114.512922,0,0.0
3,27,99999.885487,114.453792,0,0.0
3,31,99999.847316,152.598998,0,0.0
3,32,99999.847316,152.623236,0,0.0
4,11,99999.847316,152.683897,0,0.0
4,14,99999.885487,114.512922,0,0.0
4,16,99999.885487,114.512922,0,0.0
4,17,99999.885478,114.517476,0,0.0
5,6,99999.885487,114.50837,0,0.0
5,9,99999.847316,152.677826,0,0.0
5,10,99999.847328,152.671756,0,0.0
5,11,99999.847316,152.677826,0,0.0
5,15,99999.885496,114.503817,0,0.0
5,16,99999.885487,114.50837,0,0.0
6,8,99999.885487,114.512922,0,0.0
6,19,99999.923658,76.341948,0,0.0
6,23,99999.923658,76.341948,0,0.0
6,27,99999.923658,76.302528,0,0.0
7,9,99999.885487,114.512922,0,0.0
8,18,99999.885487,114.512922,0,0.0
10,15,99999.885496,114.503817,0,0.0
10,29,99999.885496,114.458328,0,0.0
11,13,99999.885487,114.50837,0,0.0
11,29,99999.885487,114.462881,0,0.0
13,14,99999.923658,76.338913,0,0.0
13,22,99999.923664,76.335878,0,0.0
14,20,99999.923658,76.341948,0,0.0
14,21,99999.923658,76.341948,0,0.0
14,24,99999.923658,76.341948,0,0.0
15,18,99999.923658,76.338913,0,0.0
15,19,99999.923658,76.338913,0,0.0
15,26,99999.923664,76.293435,0,0.0
15,28,99999.923664,76.293435,0,0.0
16,23,99999.923658,76.341948,0,0.0
16,25,99999.923658,76.302528,0,0.0
18,30,99999.847316,152.605056,0,0.0
19,24,99999.923658,76.341948,0,0.0
19,25,99999.923658,76.302528,0,0.0
20,26,99999.923658,76.296471,0,0.0
22,32,99999.847328,152.617165,0,0.0
26,30,99999.885605,114.385575,0,0.0
