node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.856524,143.454875,0,0.0
1,7,99999.892401,107.587136,0,0.0
1,8,99999.856524,143.470951,0,0.0
1,10,99999.850546,149.448907,0,0.0
1,12,99999.928256,71.740836,0,0.0
1,15,99999.928262,71.738156,0,0.0
1,18,99999.928262,71.735476,0,0.0
1,30,99999.892401,107.587136,0,0.0
2,3,99999.856567,143.428081,0,0.0
2,4,99999.856577,143.422724,0,0.0
2,5,99999.856524,143.449518,0,0.0
2,17,99999.928283,71.71404,0,0.0
2,21,99999.928289,71.700651,0,0.0
2,22,99999.850546,149.426581,0,0.0
2,28,99999.928262,71.724759,0,0.0
2,31,99999.928256,71.727439,0,0.0
3,4,99999.814732,185.261271,0,0.0
3,5,99999.856524,143.454875,0,0.0
3,6,99999.892425,107.575078,0,0.0
3,7,99999.892425,107.575078,0,0.0
3,12,99999.856524,143.454875,0,0.0
3,13,99999.856524,143.454875,0,0.0
3,15,99999.856524,143.454875,0,0.0
3,20,99999.892425,107.575078,0,0.0
3,27,99999.850534,149.437746,0,0.0
3,31,99999.928256,71.730118,0,0.0
3,32,99999.928283,71.706007,0,0.0
4,11,99999.856524,143.449518,0,0.0
4,14,99999.856524,143.449518,0,0.0
4,16,99999.856577,143.406657,0,0.0
4,17,99999.856567,143.428081,0,0.0
5,6,99999.892393,107.591156,0,0.0
5,9,99999.856524,143.476311,0,0.0
5,10,99999.856524,143.476311,0,0.0
5,11,99999.856524,143.476311,0,0.0
5,15,99999.856524,143.476311,0,0.0
5,16,99999.856524,143.433451,0,0.0
6,8,99999.892393,107.591156,0,0.0
6,19,99999.928283,71.716719,0,0.0
6,23,99999.928283,71.716719,0,0.0
6,27,99999.928256,71.730118,0,0.0
7,9,99999.856524,143.454875,0,0.0
8,18,99999.892385,107.611254,0,0.0
10,15,99999.856524,143.476311,0,0.0
10,29,99999.892393,107.591156,0,0.0
11,13,99999.892393,107.607234,0,0.0
11,29,99999.892393,107.591156,0,0.0
13,14,99999.892393,107.607234,0,0.0
13,22,99999.892393,107.607234,0,0.0
14,20,99999.928262,71.727437,0,0.0
14,21,99999.892393,107.571073,0,0.0
14,24,99999.892385,107.611254,0,0.0
15,18,99999.886415,113.585413,0,0.0
15,19,99999.928262,71.727437,0,0.0
15,26,99999.892385,107.611254,0,0.0
15,28,99999.892393,107.607234,0,0.0
16,23,99999.892425,107.55901,0,0.0
16,25,99999.892425,107.55901,0,0.0
18,30,99999.928256,71.730118,0,0.0
19,24,99999.928256,71.730118,0,0.0
19,25,99999.928283,71.716719,0,0.0
20,26,99999.886406,113.572687,0,0.0
22,32,99999.928262,71.716725,0,0.0
26,30,99999.892385,107.595177,0,0.0
