node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.840243,159.674308,0,0.0
1,7,99999.846633,153.287335,0,0.0
1,8,99999.884975,114.965501,0,0.0
1,10,99999.923323,76.640605,0,0.0
1,12,99999.878575,121.357323,0,0.0
1,15,99999.833799,166.087832,0,0.0
1,18,99999.884975,114.965501,0,0.0
1,30,99999.846633,153.287335,0,0.0
2,3,99999.92331,76.686504,0,0.0
2,4,99999.846621,153.373008,0,0.0
2,5,99999.846621,153.373008,0,0.0
2,17,99999.92331,76.686504,0,0.0
2,21,99999.884966,115.029756,0,0.0
2,22,99999.884966,115.029756,0,0.0
2,28,99999.884966,115.029756,0,0.0
2,31,99999.884966,115.029756,0,0.0
3,4,99999.846633,153.366882,0,0.0
3,5,99999.846633,153.366882,0,0.0
3,6,99999.92331,76.686504,0,0.0
3,7,99999.884975,115.025162,0,0.0
3,12,99999.92331,76.686504,0,0.0
3,13,99999.923317,76.683441,0,0.0
3,15,99999.923292,76.695696,0,0.0
3,20,99999.878585,121.415449,0,0.0
3,27,99999.884975,115.025162,0,0.0
3,31,99999.884975,115.025162,0,0.0
3,32,99999.884975,115.025162,0,0.0
4,11,99999.884966,115.029756,0,0.0
4,14,99999.884975,115.025162,0,0.0
4,16,99999.884975,115.025162,0,0.0
4,17,99999.884975,115.025162,0,0.0
5,6,99999.92331,76.686504,0,0.0
5,9,99999.884966,115.029756,0,0.0
5,10,99999.884975,115.020568,0,0.0
5,11,99999.884966,115.029756,0,0.0
5,15,99999.884938,115.043544,0,0.0
5,16,99999.884975,115.025162,0,0.0
6,8,99999.923317,76.683441,0,0.0
6,19,99999.923317,76.683441,0,0.0
6,23,99999.884966,115.034351,0,0.0
6,27,99999.884966,115.029756,0,0.0
7,9,99999.884966,115.029756,0,0.0
8,18,99999.884975,95.854301,0,0.0
10,15,99999.878546,121.430003,0,0.0
10,29,99999.884975,115.020568,0,0.0
11,13,99999.884966,115.029756,0,0.0
11,29,99999.884966,115.029756,0,0.0
13,14,99999.878585,121.415449,0,0.0
13,22,99999.884975,115.025162,0,0.0
14,20,99999.923317,76.683441,0,0.0
14,21,99999.884975,115.025162,0,0.0
14,24,99999.884975,115.025162,0,0.0
15,18,99999.884938,115.043544,0,0.0
15,19,99999.884938,115.043544,0,0.0
15,26,99999.884938,115.043544,0,0.0
15,28,99999.884938,115.043544,0,0.0
16,23,99999.884966,115.029756,0,0.0
16,25,99999.884975,115.025162,0,0.0
18,30,99999.884975,115.025162,0,0.0
19,24,99999.884975,115.025162,0,0.0
19,25,99999.884975,115.025162,0,0.0
20,26,99999.884975,115.025162,0,0.0
22,32,99999.846633,153.366882,0,0.0
26,30,99999.846633,153.366882,0,0.0
