node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.885241,114.727332,0,0.0
1,7,99999.885241,114.722765,0,0.0
1,8,99999.885112,114.823415,0,0.0
1,10,99999.923414,76.545888,0,0.0
1,12,99999.923414,76.545888,0,0.0
1,15,99999.923408,76.548943,0,0.0
1,18,99999.885122,114.818832,0,0.0
1,30,99999.846829,153.091777,0,0.0
2,3,99999.923536,76.460515,0,0.0
2,4,99999.847036,152.945396,0,0.0
2,5,99999.847036,152.951487,0,0.0
2,17,99999.923427,76.515407,0,0.0
2,21,99999.885277,114.658846,0,0.0
2,22,99999.885122,114.782273,0,0.0
2,28,99999.885112,114.80513,0,0.0
2,31,99999.885122,114.782273,0,0.0
3,4,99999.847073,152.927121,0,0.0
3,5,99999.847061,152.933211,0,0.0
3,6,99999.923536,76.460515,0,0.0
3,7,99999.885305,114.690773,0,0.0
3,12,99999.923414,76.52456,0,0.0
3,13,99999.923408,76.527615,0,0.0
3,15,99999.923408,76.527615,0,0.0
3,20,99999.923421,76.521506,0,0.0
3,27,99999.885122,114.786841,0,0.0
3,31,99999.885122,114.786841,0,0.0
3,32,99999.885286,114.704477,0,0.0
4,11,99999.885122,114.786841,0,0.0
4,14,99999.885112,114.791423,0,0.0
4,16,99999.885277,114.709047,0,0.0
4,17,99999.88514,114.777677,0,0.0
5,6,99999.92353,76.463561,0,0.0
5,9,99999.885122,114.791409,0,0.0
5,10,99999.885122,114.791409,0,0.0
5,11,99999.885122,114.791409,0,0.0
5,15,99999.885122,114.791409,0,0.0
5,16,99999.885277,114.713615,0,0.0
6,8,99999.923408,76.524571,0,0.0
6,19,99999.923414,76.521515,0,0.0
6,23,99999.885131,114.777691,0,0.0
6,27,99999.885122,114.782273,0,0.0
7,9,99999.923414,76.521515,0,0.0
8,18,99999.923408,76.588616,0,0.0
10,15,99999.923414,76.58556,0,0.0
10,29,99999.885122,114.873759,0,0.0
11,13,99999.885112,114.882923,0,0.0
11,29,99999.885122,114.873759,0,0.0
13,14,99999.885112,114.887506,0,0.0
13,22,99999.885112,114.882923,0,0.0
14,20,99999.885112,114.878341,0,0.0
14,21,99999.885112,114.80513,0,0.0
14,24,99999.885112,114.882923,0,0.0
15,18,99999.885122,114.878341,0,0.0
15,19,99999.885112,114.882923,0,0.0
15,26,99999.885112,114.882923,0,0.0
15,28,99999.885112,114.887506,0,0.0
16,23,99999.885131,114.795965,0,0.0
16,25,99999.885122,114.800547,0,0.0
18,30,99999.885122,114.878341,0,0.0
19,24,99999.885122,114.878341,0,0.0
19,25,99999.885122,114.878341,0,0.0
20,26,99999.885112,114.878341,0,0.0
22,32,99999.846829,153.061303,0,0.0
26,30,99999.846817,153.177231,0,0.0
