node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.923828,76.166297,0,0.0
1,7,99999.923828,76.163276,0,0.0
1,8,99999.923828,76.166297,0,0.0
1,10,99999.885741,114.253977,0,0.0
1,12,99999.847655,152.332594,0,0.0
1,15,99999.847462,152.441507,0,0.0
1,18,99999.923737,76.217724,0,0.0
1,30,99999.923737,76.217724,0,0.0
2,3,99999.92384,76.157233,0,0.0
2,4,99999.923846,76.154212,0,0.0
2,5,99999.923834,76.160254,0,0.0
2,17,99999.847498,152.405205,0,0.0
2,21,99999.847486,152.411262,0,0.0
2,22,99999.885596,114.317534,0,0.0
2,28,99999.885596,114.317534,0,0.0
2,31,99999.923731,76.211689,0,0.0
3,4,99999.923846,76.154212,0,0.0
3,5,99999.923834,76.163275,0,0.0
3,6,99999.88576,114.23585,0,0.0
3,7,99999.92384,76.157233,0,0.0
3,12,99999.88576,114.240381,0,0.0
3,13,99999.885596,114.322065,0,0.0
3,15,99999.885596,114.322065,0,0.0
3,20,99999.885614,114.312978,0,0.0
3,27,99999.923737,76.211681,0,0.0
3,31,99999.923731,76.21471,0,0.0
3,32,99999.923743,76.208652,0,0.0
4,11,99999.92384,76.157233,0,0.0
4,14,99999.885596,114.317534,0,0.0
4,16,99999.885614,114.308447,0,0.0
4,17,99999.885624,114.303904,0,0.0
5,6,99999.885751,114.240382,0,0.0
5,9,99999.923834,76.163275,0,0.0
5,10,99999.923834,76.163275,0,0.0
5,11,99999.92384,76.160254,0,0.0
5,15,99999.885596,114.322065,0,0.0
5,16,99999.885614,114.312978,0,0.0
6,8,99999.88576,114.23585,0,0.0
6,19,99999.847486,152.411262,0,0.0
6,23,99999.847486,152.411262,0,0.0
6,27,99999.885605,114.31299,0,0.0
7,9,99999.88576,114.23585,0,0.0
8,18,99999.885605,114.317521,0,0.0
10,15,99999.885596,114.326597,0,0.0
10,29,99999.923743,76.211673,0,0.0
11,13,99999.885596,114.322065,0,0.0
11,29,99999.923743,76.208652,0,0.0
13,14,99999.847462,152.538333,0,0.0
13,22,99999.847462,152.538333,0,0.0
14,20,99999.847462,152.526216,0,0.0
14,21,99999.847462,152.526216,0,0.0
14,24,99999.847462,152.532274,0,0.0
15,18,99999.847462,152.532274,0,0.0
15,19,99999.847462,152.526216,0,0.0
15,26,99999.885596,114.40375,0,0.0
15,28,99999.885596,114.40375,0,0.0
16,23,99999.847486,152.5141,0,0.0
16,25,99999.847474,152.520158,0,0.0
18,30,99999.923737,76.263108,0,0.0
19,24,99999.847474,152.520158,0,0.0
19,25,99999.885605,114.390118,0,0.0
20,26,99999.885596,114.394662,0,0.0
22,32,99999.923731,76.263108,0,0.0
26,30,99999.923731,76.266137,0,0.0
