node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.847134,152.787213,0,0.0
1,7,99999.88535,114.59041,0,0.0
1,8,99999.88546,114.535693,0,0.0
1,10,99999.88546,114.535693,0,0.0
1,12,99999.92364,76.357129,0,0.0
1,15,99999.92364,76.357129,0,0.0
1,18,99999.923646,76.354092,0,0.0
1,30,99999.885469,114.499273,0,0.0
2,3,99999.847134,152.860157,0,0.0
2,4,99999.847146,152.854072,0,0.0
2,5,99999.885359,114.585846,0,0.0
2,17,99999.923567,76.430079,0,0.0
2,21,99999.923573,76.427036,0,0.0
2,22,99999.885359,114.585846,0,0.0
2,28,99999.923573,76.393601,0,0.0
2,31,99999.885359,114.590401,0,0.0
3,4,99999.847122,152.866243,0,0.0
3,5,99999.847292,133.683497,0,0.497512
3,6,99999.885341,114.563109,0,0.0
3,7,99999.88535,114.649682,0,0.0
3,12,99999.847134,152.793286,0,0.0
3,13,99999.847134,152.793286,0,0.0
3,15,99999.88535,114.594965,0,0.0
3,20,99999.88535,114.649682,0,0.0
3,27,99999.88535,114.59041,0,0.0
3,31,99999.88535,114.59041,0,0.0
3,32,99999.88535,114.645118,0,0.0
4,11,99999.847146,152.781128,0,0.0
4,14,99999.847146,152.787202,0,0.0
4,16,99999.88535,114.645118,0,0.0
4,17,99999.88535,114.645118,0,0.0
5,6,99999.885469,114.499273,0,0.0
5,9,99999.847292,152.708184,0,0.0
5,10,99999.84728,152.714258,0,0.0
5,11,99999.847292,152.708184,0,0.0
5,15,99999.88546,114.540248,0,0.0
5,16,99999.88535,114.594965,0,0.0
6,8,99999.88546,114.503828,0,0.0
6,19,99999.923688,76.308573,0,0.0
6,23,99999.923567,76.372363,0,0.0
6,27,99999.923646,76.332849,0,0.0
7,9,99999.847134,152.787213,0,0.0
8,18,99999.88546,114.535693,0,0.0
10,15,99999.84728,152.720331,0,0.0
10,29,99999.88535,114.594965,0,0.0
11,13,99999.88546,114.535693,0,0.0
11,29,99999.88535,114.59041,0,0.0
13,14,99999.88546,114.540248,0,0.0
13,22,99999.88546,114.535693,0,0.0
14,20,99999.923567,76.396643,0,0.0
14,21,99999.885359,114.590401,0,0.0
14,24,99999.88546,114.531139,0,0.0
15,18,99999.92364,76.357129,0,0.0
15,19,99999.92364,76.332853,0,0.0
15,26,99999.88546,114.540248,0,0.0
15,28,99999.88546,114.540248,0,0.0
16,23,99999.923567,76.433121,0,0.0
16,25,99999.923567,76.369331,0,0.0
18,30,99999.923646,76.332849,0,0.0
19,24,99999.923652,76.32678,0,0.0
19,25,99999.923694,76.30554,0,0.0
20,26,99999.923567,76.396643,0,0.0
22,32,99999.885359,114.585846,0,0.0
26,30,99999.88546,114.503828,0,0.0
