node1,node2,free_bw,used_bw,delay,pkloss
1,3,99994.544,5456.0,0,0.0
1,7,99994.592,5408.0,0,0.0
1,8,99994.592,5408.0,0,0.0
1,10,99994.592,5408.0,0,0.0
1,12,99994.6696,5330.4,0,0.0
1,15,99994.584,5416.0,0,0.0
1,18,99994.584,5416.0,0,0.0
1,30,99994.64,5360.0,0,0.0
2,3,99994.544,5456.0,0,0.0
2,4,99994.488,5512.0,0,0.0
2,5,99994.488,5512.0,0,0.0
2,17,99994.592,5408.0,0,0.0
2,21,99994.64,5360.0,0,0.0
2,22,99994.688,5312.0,0,0.0
2,28,99994.64,5360.0,0,0.0
2,31,99994.688,5312.0,0,0.0
3,4,99994.544,5456.0,0,0.0
3,5,99994.544,5456.0,0,0.0
3,6,99994.592,5408.0,0,0.0
3,7,99994.64,5360.0,0,0.0
3,12,99994.688,5312.0,0,0.0
3,13,99994.688,5312.0,0,0.0
3,15,99994.632,5368.0,0,0.0
3,20,99994.528,5472.0,0,0.0
3,27,99994.9448,5055.2,0,0.0
3,31,99994.6144,5385.6,0,0.0
3,32,99994.632,5368.0,0,0.0
4,11,99994.6696,5330.4,0,0.0
4,14,99994.688,5312.0,0,0.0
4,16,99994.632,5368.0,0,0.0
4,17,99994.632,5368.0,0,0.0
5,6,99994.592,5408.0,0,0.0
5,9,99994.64,5360.0,0,0.0
5,10,99994.584,5416.0,0,0.0
5,11,99994.64,5360.0,0,0.0
5,15,99994.688,5312.0,0,0.0
5,16,99994.632,5368.0,0,0.0
6,8,99994.64,5360.0,0,0.0
6,19,99994.9448,5055.2,0,0.0
6,23,99994.688,5312.0,0,0.0
6,27,99994.632,5368.0,0,0.0
7,9,99994.632,5368.0,0,0.0
8,18,99994.736,5264.0,0,0.0
10,15,99994.9072,5092.8,0,0.0
10,29,99994.9368,5063.2,0,0.0
11,13,99994.736,5264.0,0,0.0
11,29,99994.9072,5092.8,0,0.0
13,14,99994.9072,5092.8,0,0.0
13,22,99994.9552,5044.8,0,0.0
14,20,99994.8592,5140.8,0,0.0
14,21,99994.784,5216.0,0,0.0
14,24,99994.9848,5015.2,0,0.0
15,18,99994.9072,5092.8,0,0.0
15,19,99994.8216,5178.4,0,0.0
15,26,99994.672,5328.0,0,0.0
15,28,99994.784,5216.0,0,0.0
16,23,99994.784,5216.0,0,0.0
16,25,99994.8992,5100.8,0,0.0
18,30,99995.0408,4959.2,0,0.0
19,24,99994.7176,5282.4,0,0.0
19,25,99994.8696,5130.4,0,0.0
20,26,99994.784,5216.0,0,0.0
22,32,99994.784,5216.0,0,0.0
26,30,99995.0408,4959.2,0,0.0
