node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.852795,147.199755,0,0.0
1,7,99999.889604,110.332182,0,0.0
1,8,99999.889604,110.387122,0,0.0
1,10,99999.889604,110.387122,0,0.0
1,12,99999.889604,110.382892,0,0.0
1,15,99999.889604,110.382892,0,0.0
1,18,99999.889604,110.382892,0,0.0
1,30,99999.926403,73.591415,0,0.0
2,3,99999.852795,147.115219,0,0.0
2,4,99999.889731,110.26878,0,0.0
2,5,99999.92642,73.546327,0,0.0
2,17,99999.926487,73.51252,0,0.0
2,21,99999.926487,73.51252,0,0.0
2,22,99999.88963,110.31949,0,0.0
2,28,99999.92642,73.546327,0,0.0
2,31,99999.88963,110.31949,0,0.0
3,4,99999.889596,110.336414,0,0.0
3,5,99999.926397,73.594236,0,0.0
3,6,99999.889596,110.404048,0,0.0
3,7,99999.889596,110.336414,0,0.0
3,12,99999.852795,147.182832,0,0.0
3,13,99999.852795,147.188472,0,0.0
3,15,99999.852795,147.182832,0,0.0
3,20,99999.852795,147.115219,0,0.0
3,27,99999.889596,110.387124,0,0.0
3,31,99999.889596,110.387124,0,0.0
3,32,99999.889596,110.336414,0,0.0
4,11,99999.88963,110.31949,0,0.0
4,14,99999.889621,110.32372,0,0.0
4,16,99999.889731,110.26878,0,0.0
4,17,99999.852975,128.64691,0,0.196078
5,6,99999.889596,110.387124,0,0.0
5,9,99999.88963,110.3702,0,0.0
5,10,99999.889621,110.37443,0,0.0
5,11,99999.88963,110.3702,0,0.0
5,15,99999.88963,110.3702,0,0.0
5,16,99999.88963,110.31949,0,0.0
6,8,99999.889596,110.391354,0,0.0
6,19,99999.889596,110.387124,0,0.0
6,23,99999.926397,73.557609,0,0.0
6,27,99999.926397,73.591416,0,0.0
7,9,99999.85284,147.092653,0,0.0
8,18,99999.852828,147.165907,0,0.0
10,15,99999.852828,147.165907,0,0.0
10,29,99999.889621,110.32372,0,0.0
11,13,99999.889621,110.37443,0,0.0
11,29,99999.88963,110.31949,0,0.0
13,14,99999.889621,110.37866,0,0.0
13,22,99999.889621,110.37443,0,0.0
14,20,99999.889621,110.32372,0,0.0
14,21,99999.889621,110.32372,0,0.0
14,24,99999.889621,110.37443,0,0.0
15,18,99999.88963,110.3702,0,0.0
15,19,99999.88963,110.3702,0,0.0
15,26,99999.88963,110.3702,0,0.0
15,28,99999.88963,110.3702,0,0.0
16,23,99999.889731,110.26878,0,0.0
16,25,99999.88963,110.31949,0,0.0
18,30,99999.889621,110.37443,0,0.0
19,24,99999.88963,110.3702,0,0.0
19,25,99999.88963,110.3702,0,0.0
20,26,99999.88963,110.31949,0,0.0
22,32,99999.92642,73.546327,0,0.0
26,30,99999.92642,73.580133,0,0.0
