node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.845249,154.707719,0,0.0
1,7,99999.845249,154.701491,0,0.0
1,8,99999.800113,199.830804,0,0.0
1,10,99999.883936,116.035462,0,0.0
1,12,99999.922624,77.35386,0,0.0
1,15,99999.922624,77.356975,0,0.0
1,18,99999.883936,116.03079,0,0.0
1,30,99999.883936,116.03079,0,0.0
2,3,99999.845348,154.645403,0,0.0
2,4,99999.845348,154.645403,0,0.0
2,5,99999.845323,154.657862,0,0.0
2,17,99999.92268,77.319588,0,0.0
2,21,99999.92268,77.316474,0,0.0
2,22,99999.883993,115.993397,0,0.0
2,28,99999.922662,77.328931,0,0.0
2,31,99999.845323,154.657862,0,0.0
3,4,99999.845348,154.651631,0,0.0
3,5,99999.845323,154.670319,0,0.0
3,6,99999.884002,115.993395,0,0.0
3,7,99999.845336,154.65786,0,0.0
3,12,99999.845336,135.326406,0,0.0
3,13,99999.838892,161.101938,0,0.0
3,15,99999.883993,115.998067,0,0.0
3,20,99999.884011,115.984052,0,0.0
3,27,99999.884002,115.993395,0,0.0
3,31,99999.845323,154.66409,0,0.0
3,32,99999.845348,154.645403,0,0.0
4,11,99999.845336,154.65786,0,0.0
4,14,99999.883993,115.998067,0,0.0
4,16,99999.884011,115.984052,0,0.0
4,17,99999.884011,115.984052,0,0.0
5,6,99999.883993,115.998067,0,0.0
5,9,99999.845323,154.670319,0,0.0
5,10,99999.845323,154.676549,0,0.0
5,11,99999.845336,154.664089,0,0.0
5,15,99999.838879,161.114915,0,0.0
5,16,99999.884002,115.988724,0,0.0
6,8,99999.884002,115.993395,0,0.0
6,19,99999.922674,77.325816,0,0.0
6,23,99999.877567,122.432541,0,0.0
6,27,99999.922668,77.32893,0,0.0
7,9,99999.884002,115.993395,0,0.0
8,18,99999.884002,115.998067,0,0.0
10,15,99999.883993,116.007412,0,0.0
10,29,99999.883993,115.998067,0,0.0
11,13,99999.884002,115.998067,0,0.0
11,29,99999.884002,115.993395,0,0.0
13,14,99999.922662,77.335159,0,0.0
13,22,99999.922662,77.335159,0,0.0
14,20,99999.922662,77.328931,0,0.0
14,21,99999.922662,77.325818,0,0.0
14,24,99999.922662,77.335159,0,0.0
15,18,99999.922662,77.335159,0,0.0
15,19,99999.922662,77.332045,0,0.0
15,26,99999.922662,77.338274,0,0.0
15,28,99999.922662,77.338274,0,0.0
16,23,99999.922674,77.322702,0,0.0
16,25,99999.922668,77.325816,0,0.0
18,30,99999.877558,122.442404,0,0.0
19,24,99999.922668,77.32893,0,0.0
19,25,99999.922668,77.32893,0,0.0
20,26,99999.922662,77.328931,0,0.0
22,32,99999.845323,154.657862,0,0.0
26,30,99999.883993,116.002739,0,0.0
