node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.923188,76.81229,0,0.0
1,7,99999.923188,76.81229,0,0.0
1,8,99999.923188,76.809217,0,0.0
1,10,99999.884782,115.218435,0,0.0
1,12,99999.846375,153.62458,0,0.0
1,15,99999.846375,153.618434,0,0.0
1,18,99999.884782,115.213826,0,0.0
1,30,99999.923188,76.809217,0,0.0
2,3,99999.923188,76.81229,0,0.0
2,4,99999.923188,76.81229,0,0.0
2,5,99999.923188,76.809217,0,0.0
2,17,99999.846375,153.62458,0,0.0
2,21,99999.846375,153.62458,0,0.0
2,22,99999.884782,115.213826,0,0.0
2,28,99999.884782,115.213826,0,0.0
2,31,99999.923188,76.809217,0,0.0
3,4,99999.923188,76.81229,0,0.0
3,5,99999.923188,76.809217,0,0.0
3,6,99999.839974,160.025604,0,0.0
3,7,99999.923188,76.81229,0,0.0
3,12,99999.923188,76.81229,0,0.0
3,13,99999.884782,115.213826,0,0.0
3,15,99999.884782,115.213826,0,0.0
3,20,99999.884782,115.218435,0,0.0
3,27,99999.923188,76.809217,0,0.0
3,31,99999.923188,76.809217,0,0.0
3,32,99999.923188,76.809217,0,0.0
4,11,99999.923188,76.809217,0,0.0
4,14,99999.884791,115.209217,0,0.0
4,16,99999.884782,115.213826,0,0.0
4,17,99999.884782,115.213826,0,0.0
5,6,99999.884782,115.213826,0,0.0
5,9,99999.87839,121.609729,0,0.0
5,10,99999.923188,76.809217,0,0.0
5,11,99999.923188,76.809217,0,0.0
5,15,99999.884791,115.209217,0,0.0
5,16,99999.884782,115.213826,0,0.0
6,8,99999.884782,115.213826,0,0.0
6,19,99999.846375,153.618434,0,0.0
6,23,99999.846375,153.618434,0,0.0
6,27,99999.884782,115.218435,0,0.0
7,9,99999.839974,140.817666,0,0.671141
8,18,99999.884791,115.209217,0,0.0
10,15,99999.884782,115.213826,0,0.0
10,29,99999.923188,76.81229,0,0.0
11,13,99999.839974,160.019203,0,0.0
11,29,99999.878381,121.619459,0,0.0
13,14,99999.846388,153.612289,0,0.0
13,22,99999.846388,153.612289,0,0.0
14,20,99999.846375,153.618434,0,0.0
14,21,99999.846375,153.618434,0,0.0
14,24,99999.846375,153.618434,0,0.0
15,18,99999.846388,153.612289,0,0.0
15,19,99999.846375,153.618434,0,0.0
15,26,99999.884791,115.209217,0,0.0
15,28,99999.884791,115.209217,0,0.0
16,23,99999.846375,153.618434,0,0.0
16,25,99999.846388,134.415362,0,0.0
18,30,99999.839987,160.012801,0,0.0
19,24,99999.846375,153.618434,0,0.0
19,25,99999.839987,160.012801,0,0.0
20,26,99999.884782,115.213826,0,0.0
22,32,99999.923188,76.809217,0,0.0
26,30,99999.87839,121.609729,0,0.0
