node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.847486,152.453573,0,0.0
1,7,99999.847486,152.453573,0,0.0
1,8,99999.847486,152.465671,0,0.0
1,10,99999.885614,114.353791,0,0.0
1,12,99999.923694,76.278266,0,0.0
1,15,99999.923694,76.281295,0,0.0
1,18,99999.885551,114.417394,0,0.0
1,30,99999.847401,152.556525,0,0.0
2,3,99999.847607,152.387,0,0.0
2,4,99999.847607,152.387,0,0.0
2,5,99999.847583,152.399097,0,0.0
2,17,99999.923713,76.238913,0,0.0
2,21,99999.923713,76.238913,0,0.0
2,22,99999.885551,114.367464,0,0.0
2,28,99999.923694,76.248008,0,0.0
2,31,99999.847377,152.502082,0,0.0
3,4,99999.847607,152.393047,0,0.0
3,5,99999.847583,152.405145,0,0.0
3,6,99999.885705,114.294785,0,0.0
3,7,99999.885705,114.294785,0,0.0
3,12,99999.885542,114.376548,0,0.0
3,13,99999.885542,114.376548,0,0.0
3,15,99999.885542,114.376548,0,0.0
3,20,99999.885569,114.362904,0,0.0
3,27,99999.885542,114.376548,0,0.0
3,31,99999.847377,152.508129,0,0.0
3,32,99999.847425,152.483873,0,0.0
4,11,99999.847401,152.495999,0,0.0
4,14,99999.885542,114.376548,0,0.0
4,16,99999.885569,114.362904,0,0.0
4,17,99999.885569,114.362904,0,0.0
5,6,99999.885687,114.303858,0,0.0
5,9,99999.847583,152.411193,0,0.0
5,10,99999.847571,152.423292,0,0.0
5,11,99999.847401,152.508097,0,0.0
5,15,99999.885542,114.385621,0,0.0
5,16,99999.885569,114.371978,0,0.0
6,8,99999.885687,114.303858,0,0.0
6,19,99999.923701,76.247999,0,0.0
6,23,99999.923713,76.241936,0,0.0
6,27,99999.923694,76.251032,0,0.0
7,9,99999.885696,114.299322,0,0.0
8,18,99999.885551,114.381072,0,0.0
10,15,99999.885542,114.390159,0,0.0
10,29,99999.885569,114.376515,0,0.0
11,13,99999.885542,114.453762,0,0.0
11,29,99999.885551,114.440118,0,0.0
13,14,99999.923694,76.30554,0,0.0
13,22,99999.923694,76.302508,0,0.0
14,20,99999.923694,76.296445,0,0.0
14,21,99999.923694,76.296445,0,0.0
14,24,99999.923694,76.30554,0,0.0
15,18,99999.923694,76.302508,0,0.0
15,19,99999.923694,76.302508,0,0.0
15,26,99999.923694,76.30554,0,0.0
15,28,99999.923694,76.30554,0,0.0
16,23,99999.923713,76.287349,0,0.0
16,25,99999.923701,76.293412,0,0.0
18,30,99999.885551,114.449213,0,0.0
19,24,99999.923694,76.302508,0,0.0
19,25,99999.923701,76.299475,0,0.0
20,26,99999.923694,76.296445,0,0.0
22,32,99999.847401,152.586824,0,0.0
26,30,99999.885542,114.453762,0,0.0
