node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.923882,76.105916,0,0.0
1,7,99999.923882,76.105916,0,0.0
1,8,99999.923894,76.099882,0,0.0
1,10,99999.885832,114.154348,0,0.0
1,12,99999.847776,152.199766,0,0.0
1,15,99999.847788,152.199763,0,0.0
1,18,99999.885832,114.154348,0,0.0
1,30,99999.923888,76.102899,0,0.0
2,3,99999.923876,76.121001,0,0.0
2,4,99999.87947,120.529696,0,0.0
2,5,99999.923876,76.117983,0,0.0
2,17,99999.847752,152.242002,0,0.0
2,21,99999.847752,152.248037,0,0.0
2,22,99999.885814,114.176975,0,0.0
2,28,99999.885814,114.17245,0,0.0
2,31,99999.923876,76.117983,0,0.0
3,4,99999.923876,76.121001,0,0.0
3,5,99999.923882,76.114965,0,0.0
3,6,99999.885823,114.176974,0,0.0
3,7,99999.923882,76.117983,0,0.0
3,12,99999.923882,76.114965,0,0.0
3,13,99999.885823,95.141444,0,0.746269
3,15,99999.885823,114.167923,0,0.0
3,20,99999.885823,114.176974,0,0.0
3,27,99999.923882,76.114965,0,0.0
3,31,99999.923882,76.114965,0,0.0
3,32,99999.923876,76.121001,0,0.0
4,11,99999.923876,76.121001,0,0.0
4,14,99999.885814,114.17245,0,0.0
4,16,99999.841408,158.591706,0,0.0
4,17,99999.885814,114.181501,0,0.0
5,6,99999.885823,114.172448,0,0.0
5,9,99999.923888,76.111948,0,0.0
5,10,99999.923888,76.111948,0,0.0
5,11,99999.923888,76.111948,0,0.0
5,15,99999.885832,114.167922,0,0.0
5,16,99999.885814,114.176975,0,0.0
6,8,99999.885823,114.167923,0,0.0
6,19,99999.847764,152.229931,0,0.0
6,23,99999.847752,152.242002,0,0.0
6,27,99999.885823,114.172448,0,0.0
7,9,99999.923882,76.114965,0,0.0
8,18,99999.885832,114.163397,0,0.0
10,15,99999.885832,114.163397,0,0.0
10,29,99999.923882,76.114965,0,0.0
11,13,99999.885823,114.167923,0,0.0
11,29,99999.923882,76.117983,0,0.0
13,14,99999.885841,114.158871,0,0.0
13,22,99999.885832,114.163397,0,0.0
14,20,99999.847764,152.223897,0,0.0
14,21,99999.847752,152.229933,0,0.0
14,24,99999.847764,152.223897,0,0.0
15,18,99999.847776,152.217862,0,0.0
15,19,99999.847776,152.217862,0,0.0
15,26,99999.847776,152.217862,0,0.0
15,28,99999.885841,114.158871,0,0.0
16,23,99999.847752,152.248037,0,0.0
16,25,99999.847752,152.235967,0,0.0
18,30,99999.885832,114.167922,0,0.0
19,24,99999.847764,152.229931,0,0.0
19,25,99999.847776,152.223896,0,0.0
20,26,99999.847764,152.223897,0,0.0
22,32,99999.923876,76.117983,0,0.0
26,30,99999.885832,114.163397,0,0.0
