node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.886605,113.354602,0,0.0
1,7,99999.924403,75.569734,0,0.0
1,8,99999.924415,75.563782,0,0.0
1,10,99999.886623,113.345674,0,0.0
1,12,99999.886614,113.350137,0,0.0
1,15,99999.886623,113.345674,0,0.0
1,18,99999.924457,75.522171,0,0.0
1,30,99999.924457,75.519202,0,0.0
2,3,99999.848736,151.228742,0,0.0
2,4,99999.924374,75.614369,0,0.0
2,5,99999.924374,75.608416,0,0.0
2,17,99999.886552,113.381402,0,0.0
2,21,99999.886552,113.381402,0,0.0
2,22,99999.886552,113.350211,0,0.0
2,28,99999.886552,113.341305,0,0.0
2,31,99999.924368,75.56087,0,0.0
3,4,99999.924398,75.59948,0,0.0
3,5,99999.924403,75.593527,0,0.0
3,6,99999.848807,151.193007,0,0.0
3,7,99999.886605,113.394755,0,0.0
3,12,99999.848807,151.187055,0,0.0
3,13,99999.848807,151.181103,0,0.0
3,15,99999.848807,151.181103,0,0.0
3,20,99999.848807,151.133525,0,0.0
3,27,99999.886605,113.318957,0,0.0
3,31,99999.924403,75.543003,0,0.0
3,32,99999.924403,75.566762,0,0.0
4,11,99999.886596,113.394756,0,0.0
4,14,99999.886596,113.390293,0,0.0
4,16,99999.886561,113.421553,0,0.0
4,17,99999.886596,113.359067,0,0.0
5,6,99999.886605,113.390291,0,0.0
5,9,99999.886614,113.385827,0,0.0
5,10,99999.886614,113.381363,0,0.0
5,11,99999.886614,113.385827,0,0.0
5,15,99999.886614,113.381363,0,0.0
5,16,99999.886561,113.412623,0,0.0
6,8,99999.848807,151.181103,0,0.0
6,19,99999.848807,151.09788,0,0.0
6,23,99999.886605,113.327864,0,0.0
6,27,99999.886605,113.318957,0,0.0
7,9,99999.886605,113.390291,0,0.0
8,18,99999.886623,113.314482,0,0.0
10,15,99999.848831,151.169199,0,0.0
10,29,99999.886623,113.32339,0,0.0
11,13,99999.886614,113.381363,0,0.0
11,29,99999.886614,113.327854,0,0.0
13,14,99999.886623,113.376899,0,0.0
13,22,99999.886623,113.314482,0,0.0
14,20,99999.886623,113.341215,0,0.0
14,21,99999.886623,113.345674,0,0.0
14,24,99999.886623,113.314482,0,0.0
15,18,99999.886623,113.314482,0,0.0
15,19,99999.886623,113.314482,0,0.0
15,26,99999.886623,113.301125,0,0.0
15,28,99999.886623,113.305576,0,0.0
16,23,99999.886561,113.350196,0,0.0
16,25,99999.886561,113.345742,0,0.0
18,30,99999.924499,75.498408,0,0.0
19,24,99999.886748,113.252064,0,0.0
19,25,99999.886748,113.252064,0,0.0
20,26,99999.886694,113.265441,0,0.0
22,32,99999.924463,75.519199,0,0.0
26,30,99999.924505,75.489503,0,0.0
