node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.885122,114.85086,0,0.0
1,7,99999.923408,76.573347,0,0.0
1,8,99999.923408,76.573347,0,0.0
1,10,99999.885167,114.82338,0,0.0
1,12,99999.846817,153.14059,0,0.0
1,15,99999.846902,153.097839,0,0.0
1,18,99999.885122,114.855438,0,0.0
1,30,99999.923408,76.573347,0,0.0
2,3,99999.846817,153.177231,0,0.0
2,4,99999.923408,76.591671,0,0.0
2,5,99999.923408,76.591671,0,0.0
2,17,99999.846817,153.183341,0,0.0
2,21,99999.885112,114.887506,0,0.0
2,22,99999.885112,114.882923,0,0.0
2,28,99999.885112,114.855443,0,0.0
2,31,99999.840434,159.521448,0,0.0
3,4,99999.923408,76.588616,0,0.0
3,5,99999.923408,76.588616,0,0.0
3,6,99999.846817,153.177231,0,0.0
3,7,99999.885112,114.882923,0,0.0
3,12,99999.802138,197.853923,0,0.0
3,13,99999.802154,197.846031,0,0.0
3,15,99999.846817,153.14059,0,0.0
3,20,99999.846817,153.183341,0,0.0
3,27,99999.885112,114.882923,0,0.0
3,31,99999.885122,114.85086,0,0.0
3,32,99999.885103,114.892089,0,0.0
4,11,99999.923408,76.591671,0,0.0
4,14,99999.885112,114.850865,0,0.0
4,16,99999.885112,114.887506,0,0.0
4,17,99999.840434,159.565981,0,0.0
5,6,99999.840434,159.565981,0,0.0
5,9,99999.923408,76.591671,0,0.0
5,10,99999.923408,76.567243,0,0.0
5,11,99999.923408,76.591671,0,0.0
5,15,99999.840434,159.521448,0,0.0
5,16,99999.885112,114.887506,0,0.0
6,8,99999.885112,114.887506,0,0.0
6,19,99999.802138,197.853923,0,0.0
6,23,99999.885112,114.887506,0,0.0
6,27,99999.885112,114.887506,0,0.0
7,9,99999.885112,114.887506,0,0.0
8,18,99999.885112,114.887506,0,0.0
10,15,99999.885177,114.818802,0,0.0
10,29,99999.923408,76.567243,0,0.0
11,13,99999.923408,76.588616,0,0.0
11,29,99999.923408,76.591671,0,0.0
13,14,99999.846914,153.085632,0,0.0
13,22,99999.840447,159.508726,0,0.0
14,20,99999.846817,153.134487,0,0.0
14,21,99999.885112,114.850865,0,0.0
14,24,99999.885112,114.850865,0,0.0
15,18,99999.840447,159.515083,0,0.0
15,19,99999.885112,114.855443,0,0.0
15,26,99999.885177,114.823379,0,0.0
15,28,99999.885177,114.823379,0,0.0
16,23,99999.885112,114.887506,0,0.0
16,25,99999.885112,114.887506,0,0.0
18,30,99999.885112,114.887506,0,0.0
19,24,99999.885112,114.882923,0,0.0
19,25,99999.840434,159.559616,0,0.0
20,26,99999.885112,114.855443,0,0.0
22,32,99999.923402,76.591671,0,0.0
26,30,99999.87873,121.236301,0,0.0
