src,dst,add_st,mul_st
1,2,0.0,1.0
1,3,0.0,1.0
1,4,0.0,1.0
1,5,0.0,1.0
1,6,0.0,1.0
1,7,0.0,1.0
1,8,-2.0,0.5
1,9,0.0,1.0
1,10,-1.0,0.6666666666666666
1,11,1.0,1.3333333333333333
1,12,-2.0,0.5
1,13,-1.0,0.75
1,14,1.0,1.3333333333333333
1,15,-1.0,0.75
1,16,2.0,2.0
1,17,1.0,1.3333333333333333
1,18,-1.0,0.75
1,19,1.0,1.3333333333333333
1,20,-1.0,0.75
1,21,1.0,1.3333333333333333
1,22,-1.0,0.8
1,23,0.0,1.0
2,1,0.0,1.0
2,3,-2.0,0.5
2,4,0.0,1.0
2,5,-2.0,0.5
2,6,0.0,1.0
2,7,1.0,1.5
2,8,-1.0,0.8
2,9,-1.0,0.75
2,10,0.0,1.0
2,11,-1.0,0.75
2,12,1.0,1.5
2,13,1.0,1.5
2,14,0.0,1.0
2,15,-2.0,0.6
2,16,0.0,1.0
2,17,-1.0,0.6666666666666666
2,18,2.0,2.0
2,19,1.0,1.3333333333333333
2,20,-1.0,0.75
2,21,-1.0,0.6666666666666666
2,22,-1.0,0.6666666666666666
2,23,2.0,2.0
3,1,0.0,1.0
3,2,-2.0,0.5
3,4,-2.0,0.5
3,5,-2.0,0.5
3,6,-2.0,0.5
3,7,-1.0,0.6666666666666666
3,8,-2.0,0.6
3,9,-1.0,0.75
3,10,1.0,1.5
3,11,1.0,1.5
3,12,-1.0,0.6666666666666666
3,13,-1.0,0.6666666666666666
3,14,1.0,1.5
3,15,-3.0,0.4
3,16,0.0,1.0
3,17,0.0,1.0
3,18,0.0,1.0
3,19,-1.0,0.75
3,20,-2.0,0.5
3,21,1.0,1.5
3,22,-1.0,0.75
3,23,-1.0,0.75
4,1,0.0,1.0
4,2,0.0,1.0
4,3,-2.0,0.5
4,5,0.0,1.0
4,6,-1.0,0.75
4,7,0.0,1.0
4,8,0.0,1.0
4,9,1.0,1.3333333333333333
4,10,1.0,1.3333333333333333
4,11,-2.0,0.5
4,12,0.0,1.0
4,13,0.0,1.0
4,14,-2.0,0.5
4,15,-1.0,0.75
4,16,0.0,1.0
4,17,-2.0,0.5
4,18,1.0,1.3333333333333333
4,19,0.0,1.0
4,20,-2.0,0.6
4,21,-1.0,0.75
4,22,-1.0,0.75
4,23,0.0,1.0
5,1,0.0,1.0
5,2,-2.0,0.5
5,3,-2.0,0.5
5,4,0.0,1.0
5,6,-3.0,0.4
5,7,-1.0,0.75
5,8,1.0,1.5
5,9,-1.0,0.6666666666666666
5,10,-1.0,0.6666666666666666
5,11,-2.0,0.5
5,12,-1.0,0.75
5,13,-2.0,0.6
5,14,-1.0,0.8
5,15,-2.0,0.5
5,16,0.0,1.0
5,17,-1.0,0.75
5,18,-2.0,0.6
5,19,-2.0,0.6
5,20,-2.0,0.6
5,21,-2.0,0.6
5,22,-2.0,0.6
5,23,-2.0,0.6
6,1,0.0,1.0
6,2,0.0,1.0
6,3,-2.0,0.5
6,4,-1.0,0.75
6,5,-3.0,0.4
6,7,1.0,1.5
6,8,-4.0,0.3333333333333333
6,9,-2.0,0.6
6,10,-1.0,0.75
6,11,-2.0,0.6
6,12,-1.0,0.75
6,13,0.0,1.0
6,14,0.0,1.0
6,15,-2.0,0.6
6,16,-1.0,0.75
6,17,1.0,1.3333333333333333
6,18,-1.0,0.75
6,19,0.0,1.0
6,20,-1.0,0.75
6,21,1.0,1.3333333333333333
6,22,-1.0,0.8
6,23,-2.0,0.5
7,1,0.0,1.0
7,2,1.0,1.5
7,3,-1.0,0.6666666666666666
7,4,0.0,1.0
7,5,-1.0,0.75
7,6,1.0,1.5
7,8,-2.0,0.6
7,9,-2.0,0.5
7,10,0.0,1.0
7,11,0.0,1.0
7,12,0.0,1.0
7,13,0.0,1.0
7,14,0.0,1.0
7,15,-1.0,0.75
7,16,1.0,1.3333333333333333
7,17,2.0,2.0
7,18,1.0,1.3333333333333333
7,19,2.0,2.0
7,20,0.0,1.0
7,21,2.0,2.0
7,22,0.0,1.0
7,23,1.0,1.3333333333333333
8,1,-2.0,0.5
8,2,-1.0,0.8
8,3,-2.0,0.6
8,4,0.0,1.0
8,5,1.0,1.5
8,6,-4.0,0.3333333333333333
8,7,-2.0,0.6
8,9,2.0,2.0
8,10,-1.0,0.75
8,11,-1.0,0.8
8,12,-2.0,0.6
8,13,-2.0,0.6666666666666666
8,14,-1.0,0.8333333333333334
8,15,0.0,1.0
8,16,1.0,1.3333333333333333
8,17,0.0,1.0
8,18,-4.0,0.3333333333333333
8,19,-3.0,0.5
8,20,0.0,1.0
8,21,-1.0,0.8333333333333334
8,22,0.0,1.0
8,23,-3.0,0.5
9,1,0.0,1.0
9,2,-1.0,0.75
9,3,-1.0,0.75
9,4,1.0,1.3333333333333333
9,5,-1.0,0.6666666666666666
9,6,-2.0,0.6
9,7,-2.0,0.5
9,8,2.0,2.0
9,10,0.0,1.0
9,11,-1.0,0.75
9,12,0.0,1.0
9,13,-1.0,0.8
9,14,0.0,1.0
9,15,1.0,1.5
9,16,1.0,1.5
9,17,0.0,1.0
9,18,-1.0,0.8
9,19,-1.0,0.8
9,20,1.0,1.3333333333333333
9,21,-1.0,0.8
9,22,0.0,1.0
9,23,-1.0,0.8
10,1,-1.0,0.6666666666666666
10,2,0.0,1.0
10,3,1.0,1.5
10,4,1.0,1.3333333333333333
10,5,-1.0,0.6666666666666666
10,6,-1.0,0.75
10,7,0.0,1.0
10,8,-1.0,0.75
10,9,0.0,1.0
10,11,1.0,1.5
10,12,1.0,1.5
10,13,1.0,1.3333333333333333
10,14,2.0,1.6666666666666667
10,15,-1.0,0.75
10,16,1.0,1.5
10,17,2.0,2.0
10,18,0.0,1.0
10,19,0.0,1.0
10,20,1.0,1.3333333333333333
10,21,1.0,1.3333333333333333
10,22,1.0,1.3333333333333333
10,23,1.0,1.3333333333333333
11,1,1.0,1.3333333333333333
11,2,-1.0,0.75
11,3,1.0,1.5
11,4,-2.0,0.5
11,5,-2.0,0.5
11,6,-2.0,0.6
11,7,0.0,1.0
11,8,-1.0,0.8
11,9,-1.0,0.75
11,10,1.0,1.5
11,12,1.0,1.3333333333333333
11,13,-2.0,0.5
11,14,0.0,1.0
11,15,-2.0,0.6
11,16,0.0,1.0
11,17,0.0,1.0
11,18,0.0,1.0
11,19,-1.0,0.8
11,20,0.0,1.0
11,21,1.0,1.3333333333333333
11,22,-1.0,0.75
11,23,0.0,1.0
12,1,-2.0,0.5
12,2,1.0,1.5
12,3,-1.0,0.6666666666666666
12,4,0.0,1.0
12,5,-1.0,0.75
12,6,-1.0,0.75
12,7,0.0,1.0
12,8,-2.0,0.6
12,9,0.0,1.0
12,10,1.0,1.5
12,11,1.0,1.3333333333333333
12,13,0.0,1.0
12,14,0.0,1.0
12,15,-1.0,0.75
12,16,1.0,1.3333333333333333
12,17,1.0,1.3333333333333333
12,18,1.0,1.3333333333333333
12,19,0.0,1.0
12,20,0.0,1.0
12,21,0.0,1.0
12,22,2.0,2.0
12,23,1.0,1.3333333333333333
13,1,-1.0,0.75
13,2,1.0,1.5
13,3,-1.0,0.6666666666666666
13,4,0.0,1.0
13,5,-2.0,0.6
13,6,0.0,1.0
13,7,0.0,1.0
13,8,-2.0,0.6666666666666666
13,9,-1.0,0.8
13,10,1.0,1.3333333333333333
13,11,-2.0,0.5
13,12,0.0,1.0
13,14,0.0,1.0
13,15,-1.0,0.75
13,16,0.0,1.0
13,17,2.0,2.0
13,18,1.0,1.3333333333333333
13,19,2.0,2.0
13,20,0.0,1.0
13,21,-1.0,0.75
13,22,-2.0,0.5
13,23,1.0,1.3333333333333333
14,1,1.0,1.3333333333333333
14,2,0.0,1.0
14,3,1.0,1.5
14,4,-2.0,0.5
14,5,-1.0,0.8
14,6,0.0,1.0
14,7,0.0,1.0
14,8,-1.0,0.8333333333333334
14,9,0.0,1.0
14,10,2.0,1.6666666666666667
14,11,0.0,1.0
14,12,0.0,1.0
14,13,0.0,1.0
14,15,-1.0,0.8
14,16,-1.0,0.75
14,17,0.0,1.0
14,18,1.0,1.25
14,19,0.0,1.0
14,20,-2.0,0.5
14,21,-1.0,0.6666666666666666
14,22,-2.0,0.6
14,23,0.0,1.0
